fiyat,oda_sayisi,metre_kare,bina_yasi,konut_Satılık Bungalov,konut_Satılık Daire,konut_Satılık Köşk,konut_Satılık Müstakil Ev,konut_Satılık Prefabrik,konut_Satılık Residence,konut_Satılık Villa,konut_Satılık Yazlık,konut_Satılık Çiftlik Evi
980000,2,55 ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18500000,9,500 ,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1425000,4,114 ,15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3190000,4,140 ,9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3770000,5,230 ,15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3250000,4,120 ,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5495000,4,110 ,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3290000,3,160 ,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5400000,5,200 ,37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1750000,3,110 ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6700000,5,225 ,12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4750000,5,220 ,20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17400000,7,320 ,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
975000,2,55 ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3100000,4,145 ,16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2750000,4,170 ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
985000,2,70 ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4500000,4,220 ,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2250000,3,100 ,25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7800000,5,170 ,10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2750000,4,175 ,16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2590000,3,150 ,27,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8500000,5,200 ,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6450000,6,220 ,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2650000,4,160 ,21,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000000,3,115 ,25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11250000,5,340 ,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2645000,4,145 ,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2300000,4,100 ,351,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
950000,3,65 ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2890000,4,160 ,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
